run_id,model,provider,k,input_tokens,output_tokens,total_tokens,calls,converged,structural_warnings,density,stale_failed_marker,AIC,BIC,CAIC,SABIC,RMSEA2,SRMSR,structural_n_errors,tsqe_cell_agreement,expert_cell_agreement
b1_naive_deepseek_deepseek-v4-flash_auto_run6,deepseek/deepseek-v4-flash,openrouter,4,535,5845,6380,1,True,3,0.5625,False,8965.951,9492.8995,9615.8995,9102.457,0.063,0.0628,0,0.75,0.9125
b1_naive_deepseek_deepseek-v4-flash_auto_run7,deepseek/deepseek-v4-flash,openrouter,5,535,641,1176,1,True,3,0.36,False,8965.1431,9440.682,9551.682,9088.3315,0.0416,0.0733,0,0.72,0.84
b1_naive_deepseek_deepseek-v4-flash_auto_run8,deepseek/deepseek-v4-flash,openrouter,4,535,9404,9939,1,True,3,0.5625,False,8940.6064,9450.4183,9569.4183,9072.6731,0.0549,0.0598,0,0.725,0.8875
b1_naive_deepseek_deepseek-v4-flash_auto_run9,deepseek/deepseek-v4-flash,openrouter,5,535,9117,9652,1,True,2,0.43,False,8946.765,9559.3961,9702.3961,9105.467,0.0474,0.0687,0,0.73,0.88
b1_naive_google_gemini-3-5-flash_auto_run1,google/gemini-3.5-flash,openrouter,5,586,1024,1610,1,True,3,0.49,False,8985.2567,9692.1389,9857.1389,9168.3745,0.051,0.0745,0,0.71,0.91
b1_naive_google_gemini-3-5-flash_auto_run10,google/gemini-3.5-flash,openrouter,5,586,1024,1610,1,True,3,0.49,False,8985.2567,9692.1389,9857.1389,9168.3745,0.051,0.0745,0,0.71,0.91
b1_naive_google_gemini-3-5-flash_auto_run2,google/gemini-3.5-flash,openrouter,5,586,1024,1610,1,True,3,0.49,False,8985.2567,9692.1389,9857.1389,9168.3745,0.051,0.0745,0,0.71,0.91
b1_naive_google_gemini-3-5-flash_auto_run3,google/gemini-3.5-flash,openrouter,4,586,901,1487,1,True,3,0.4875,False,8992.4172,9425.1148,9526.1148,9104.5075,0.0363,0.0765,0,0.675,0.95
b1_naive_google_gemini-3-5-flash_auto_run4,google/gemini-3.5-flash,openrouter,5,586,1024,1610,1,True,3,0.49,False,8985.2567,9692.1389,9857.1389,9168.3745,0.051,0.0745,0,0.71,0.91
b1_naive_google_gemini-3-5-flash_auto_run5,google/gemini-3.5-flash,openrouter,5,586,1024,1610,1,True,3,0.49,False,8985.2567,9692.1389,9857.1389,9168.3745,0.051,0.0745,0,0.71,0.91
b1_naive_google_gemini-3-5-flash_auto_run6,google/gemini-3.5-flash,openrouter,5,586,1024,1610,1,True,3,0.49,False,8985.2567,9692.1389,9857.1389,9168.3745,0.051,0.0745,0,0.71,0.91
b1_naive_google_gemini-3-5-flash_auto_run7,google/gemini-3.5-flash,openrouter,5,586,955,1541,1,True,4,0.4,False,8987.4455,9505.8258,9626.8258,9121.7319,0.0516,0.0762,0,0.76,0.92
b1_naive_google_gemini-3-5-flash_auto_run8,google/gemini-3.5-flash,openrouter,5,586,1024,1610,1,True,3,0.49,False,8985.2567,9692.1389,9857.1389,9168.3745,0.051,0.0745,0,0.71,0.91
b1_naive_google_gemini-3-5-flash_auto_run9,google/gemini-3.5-flash,openrouter,4,586,901,1487,1,True,3,0.4875,False,8992.4172,9425.1148,9526.1148,9104.5075,0.0363,0.0765,0,0.675,0.95
b1_naive_gpt-5-5-2026-04-23_auto_run1,gpt-5.5-2026-04-23,openai,6,534,3087,3621,1,True,1,0.2167,False,8997.6682,9490.3436,9605.3436,9125.2957,0.0489,0.0785,0,0.775,0.8833
b1_naive_gpt-5-5-2026-04-23_auto_run10,gpt-5.5-2026-04-23,openai,6,534,4797,5331,1,True,2,0.2417,True,8999.3343,9517.7146,9638.7146,9133.6207,0.0501,0.0773,0,0.7667,0.875
b1_naive_gpt-5-5-2026-04-23_auto_run2,gpt-5.5-2026-04-23,openai,5,534,3400,3934,1,True,1,0.26,False,9189.0926,9544.6757,9627.6757,9281.2064,0.059,0.0886,0,0.74,0.85
b1_naive_gpt-5-5-2026-04-23_auto_run3,gpt-5.5-2026-04-23,openai,5,534,4776,5310,1,True,3,0.43,False,9039.7844,9592.4377,9721.4377,9182.9492,0.058,0.0575,0,0.75,0.89
b1_naive_gpt-5-5-2026-04-23_auto_run4,gpt-5.5-2026-04-23,openai,5,534,6402,6936,1,True,2,0.29,False,9195.3861,9576.674,9665.674,9294.1587,0.0725,0.0948,0,0.75,0.88
b1_naive_gpt-5-5-2026-04-23_auto_run5,gpt-5.5-2026-04-23,openai,5,534,4559,5093,1,True,3,0.5,True,9000.4836,9724.5023,9893.5023,9188.0406,0.0514,0.0619,0,0.7,0.94
b1_naive_gpt-5-5-2026-04-23_auto_run6,gpt-5.5-2026-04-23,openai,5,534,2879,3413,1,True,1,0.26,True,9189.0926,9544.6757,9627.6757,9281.2064,0.059,0.0886,0,0.74,0.85
b1_naive_gpt-5-5-2026-04-23_auto_run7,gpt-5.5-2026-04-23,openai,5,534,3379,3913,1,True,1,0.26,True,9189.0926,9544.6757,9627.6757,9281.2064,0.059,0.0886,0,0.74,0.85
b1_naive_gpt-5-5-2026-04-23_auto_run8,gpt-5.5-2026-04-23,openai,5,534,3576,4110,1,True,1,0.26,True,9254.4467,9610.0298,9693.0298,9346.5605,0.0693,0.0913,0,0.72,0.83
b1_naive_gpt-5-5-2026-04-23_auto_run9,gpt-5.5-2026-04-23,openai,5,534,3685,4219,1,True,1,0.27,True,9192.5704,9556.7218,9641.7218,9286.9038,0.0656,0.0885,0,0.73,0.84
